episode,total_reward,progress,win,n_clicks,epsilon,learn_rate
1,-34.0,2,0,3,0.95,0.001
2,-33.0,3,0,4,0.95,0.001
3,-35.0,1,0,2,0.95,0.001
4,-33.0,3,0,4,0.95,0.001
5,-30.0,6,0,7,0.95,0.001
6,-32.0,4,0,5,0.95,0.001
7,-35.0,1,0,2,0.95,0.001
8,-34.0,2,0,3,0.95,0.001
9,-33.0,3,0,4,0.95,0.001
10,-33.0,3,0,4,0.95,0.001
11,-34.0,2,0,3,0.95,0.001
12,-32.0,4,0,5,0.95,0.001
13,-35.0,1,0,2,0.95,0.001
14,-32.0,4,0,5,0.95,0.001
15,-35.0,1,0,2,0.95,0.001
16,-35.0,1,0,2,0.95,0.001
17,-31.0,5,0,6,0.95,0.001
18,-34.0,2,0,3,0.95,0.001
19,-35.0,1,0,2,0.95,0.001
20,37.0,2,1,2,0.95,0.001
21,-31.0,5,0,6,0.95,0.001
22,-32.0,4,0,5,0.95,0.001
23,-34.0,2,0,3,0.95,0.001
24,-32.0,4,0,5,0.95,0.001
25,-34.0,2,0,3,0.95,0.001
26,-32.0,4,0,5,0.95,0.001
27,-31.0,5,0,6,0.95,0.001
28,-34.0,2,0,3,0.95,0.001
29,-32.0,4,0,5,0.95,0.001
30,-33.0,3,0,4,0.95,0.001
31,-28.0,8,0,9,0.95,0.001
32,-28.0,8,0,9,0.95,0.001
33,-31.0,5,0,6,0.95,0.001
34,-34.0,2,0,3,0.95,0.001
35,-31.0,5,0,6,0.95,0.001
36,-31.0,5,0,6,0.95,0.001
37,-34.0,2,0,3,0.95,0.001
38,-30.0,6,0,7,0.95,0.001
39,-35.0,1,0,2,0.95,0.001
40,-33.0,3,0,4,0.95,0.001
41,-34.0,2,0,3,0.95,0.001
42,-33.0,3,0,4,0.95,0.001
43,-34.0,2,0,3,0.95,0.001
44,-34.0,2,0,3,0.95,0.001
45,-30.0,6,0,7,0.95,0.001
46,-35.0,1,0,2,0.95,0.001
47,-27.0,9,0,10,0.95,0.001
48,-34.0,2,0,3,0.95,0.001
49,-35.0,1,0,2,0.95,0.001
50,-33.0,3,0,4,0.95,0.001
51,-32.0,4,0,5,0.95,0.001
52,-33.0,3,0,4,0.95,0.001
53,40.0,5,1,5,0.95,0.001
54,-29.0,7,0,8,0.95,0.001
55,-26.0,10,0,11,0.95,0.001
56,36,1,1,1,0.95,0.001
57,-32.0,4,0,5,0.95,0.001
58,-34.0,2,0,3,0.95,0.001
59,-32.0,4,0,5,0.95,0.001
60,-33.0,3,0,4,0.95,0.001
61,-27.0,9,0,10,0.95,0.001
62,-35.0,1,0,2,0.95,0.001
63,-32.0,4,0,5,0.95,0.001
64,-35.0,1,0,2,0.95,0.001
65,-35.0,1,0,2,0.95,0.001
66,-34.0,2,0,3,0.95,0.001
67,-33.0,3,0,4,0.95,0.001
68,-35.0,1,0,2,0.95,0.001
69,-35.0,1,0,2,0.95,0.001
70,39.0,4,1,4,0.95,0.001
71,-34.0,2,0,3,0.95,0.001
72,-35.0,1,0,2,0.95,0.001
73,-33.0,3,0,4,0.95,0.001
74,-27.0,9,0,10,0.95,0.001
75,-32.0,4,0,5,0.95,0.001
76,-28.0,8,0,9,0.95,0.001
77,-35.0,1,0,2,0.95,0.001
78,-30.0,6,0,7,0.95,0.001
79,-35.0,1,0,2,0.95,0.001
80,-32.0,4,0,5,0.95,0.001
81,-34.0,2,0,3,0.95,0.001
82,-32.0,4,0,5,0.95,0.001
83,-33.0,3,0,4,0.95,0.001
84,-33.0,3,0,4,0.95,0.001
85,-30.0,6,0,7,0.95,0.001
86,-34.0,2,0,3,0.95,0.001
87,-35.0,1,0,2,0.95,0.001
88,-34.0,2,0,3,0.95,0.001
89,-33.0,3,0,4,0.95,0.001
90,-34.0,2,0,3,0.95,0.001
91,-30.0,6,0,7,0.95,0.001
92,-33.0,3,0,4,0.95,0.001
93,-31.0,5,0,6,0.95,0.001
94,-32.0,4,0,5,0.95,0.001
95,-33.0,3,0,4,0.95,0.001
96,-31.0,5,0,6,0.95,0.001
97,-32.0,4,0,5,0.95,0.001
98,-20.0,16,0,17,0.95,0.001
99,-28.0,8,0,9,0.95,0.001
100,-35.0,1,0,2,0.95,0.001
101,-34.0,2,0,3,0.95,0.001
102,-35.0,1,0,2,0.95,0.001
103,-33.0,3,0,4,0.95,0.001
104,-35.0,1,0,2,0.95,0.001
105,-34.0,2,0,3,0.95,0.001
106,39.0,4,1,4,0.95,0.001
107,-35.0,1,0,2,0.95,0.001
108,-35.0,1,0,2,0.95,0.001
109,-35.0,1,0,2,0.95,0.001
110,-30.0,6,0,7,0.95,0.001
111,-34.0,2,0,3,0.95,0.001
112,-31.0,5,0,6,0.95,0.001
113,-32.0,4,0,5,0.95,0.001
114,-33.0,3,0,4,0.95,0.001
115,-34.0,2,0,3,0.95,0.001
116,-33.0,3,0,4,0.95,0.001
117,-32.0,4,0,5,0.95,0.001
118,-33.0,3,0,4,0.95,0.001
119,-33.0,3,0,4,0.95,0.001
120,-32.0,4,0,5,0.95,0.001
121,-28.0,8,0,9,0.95,0.001
122,-34.0,2,0,3,0.95,0.001
123,-33.0,3,0,4,0.95,0.001
124,-35.0,1,0,2,0.95,0.001
125,-35.0,1,0,2,0.95,0.001
126,-35.0,1,0,2,0.95,0.001
127,-35.0,1,0,2,0.95,0.001
128,-31.0,5,0,6,0.95,0.001
129,-34.0,2,0,3,0.95,0.001
130,-33.0,3,0,4,0.95,0.001
131,-31.0,5,0,6,0.95,0.001
132,-33.0,3,0,4,0.95,0.001
133,-35.0,1,0,2,0.95,0.001
134,-32.0,4,0,5,0.95,0.001
135,-33.0,3,0,4,0.95,0.001
136,-34.0,2,0,3,0.95,0.001
137,-31.0,5,0,6,0.95,0.001
138,-33.0,3,0,4,0.95,0.001
139,-28.0,8,0,9,0.95,0.001
140,-33.0,3,0,4,0.95,0.001
141,-32.0,4,0,5,0.95,0.001
142,-35.0,1,0,2,0.95,0.001
143,-31.0,5,0,6,0.95,0.001
144,-35.0,1,0,2,0.95,0.001
145,-28.0,8,0,9,0.95,0.001
146,-32.0,4,0,5,0.95,0.001
147,-35.0,1,0,2,0.95,0.001
148,-33.0,3,0,4,0.95,0.001
149,-32.0,4,0,5,0.95,0.001
150,-34.0,2,0,3,0.95,0.001
151,38.0,3,1,3,0.95,0.001
152,-32.0,4,0,5,0.95,0.001
153,-30.0,6,0,7,0.95,0.001
154,-33.0,3,0,4,0.95,0.001
155,-33.0,3,0,4,0.95,0.001
156,-28.0,8,0,9,0.95,0.001
157,-31.0,5,0,6,0.95,0.001
158,-33.0,3,0,4,0.95,0.001
159,-32.0,4,0,5,0.95,0.001
160,-33.0,3,0,4,0.95,0.001
161,-30.0,6,0,7,0.95,0.001
162,-34.0,2,0,3,0.95,0.001
163,-35.0,1,0,2,0.95,0.001
164,-32.0,4,0,5,0.95,0.001
165,-31.0,5,0,6,0.95,0.001
166,-34.0,2,0,3,0.95,0.001
167,-35.0,1,0,2,0.95,0.001
168,-34.0,2,0,3,0.95,0.001
169,-33.0,3,0,4,0.95,0.001
170,-35.0,1,0,2,0.95,0.001
171,-32.0,4,0,5,0.95,0.001
172,-35.0,1,0,2,0.95,0.001
173,-31.0,5,0,6,0.95,0.001
174,-30.0,6,0,7,0.95,0.001
175,-34.0,2,0,3,0.95,0.001
176,-32.0,4,0,5,0.95,0.001
177,-34.0,2,0,3,0.95,0.001
178,-31.0,5,0,6,0.95,0.001
179,-34.0,2,0,3,0.95,0.001
180,-32.0,4,0,5,0.95,0.001
181,-34.0,2,0,3,0.95,0.001
182,-33.0,3,0,4,0.95,0.001
183,-33.0,3,0,4,0.95,0.001
184,-29.0,7,0,8,0.95,0.001
185,-32.0,4,0,5,0.95,0.001
186,-35.0,1,0,2,0.95,0.001
187,-34.0,2,0,3,0.95,0.001
188,-33.0,3,0,4,0.95,0.001
189,-33.0,3,0,4,0.95,0.001
190,-31.0,5,0,6,0.95,0.001
191,-33.0,3,0,4,0.95,0.001
192,-32.0,4,0,5,0.95,0.001
193,-33.0,3,0,4,0.95,0.001
194,-32.0,4,0,5,0.95,0.001
195,-35.0,1,0,2,0.95,0.001
196,-34.0,2,0,3,0.95,0.001
197,-33.0,3,0,4,0.95,0.001
198,-33.0,3,0,4,0.95,0.001
199,-35.0,1,0,2,0.95,0.001
200,-33.0,3,0,4,0.95,0.001
201,38.0,3,1,3,0.95,0.001
202,-35.0,1,0,2,0.95,0.001
203,-34.0,2,0,3,0.95,0.001
204,-31.0,5,0,6,0.95,0.001
205,-34.0,2,0,3,0.95,0.001
206,-32.0,4,0,5,0.95,0.001
207,-34.0,2,0,3,0.95,0.001
208,-35.0,1,0,2,0.95,0.001
209,-30.0,6,0,7,0.95,0.001
210,-34.0,2,0,3,0.95,0.001
211,-30.0,6,0,7,0.95,0.001
212,-30.0,6,0,7,0.95,0.001
213,-35.0,1,0,2,0.95,0.001
214,-29.0,7,0,8,0.95,0.001
215,-35.0,1,0,2,0.95,0.001
216,-35.0,1,0,2,0.95,0.001
217,-35.0,1,0,2,0.95,0.001
218,-32.0,4,0,5,0.95,0.001
219,-33.0,3,0,4,0.95,0.001
220,-21.0,15,0,16,0.95,0.001
221,-35.0,1,0,2,0.95,0.001
222,-31.0,5,0,6,0.95,0.001
223,-33.0,3,0,4,0.95,0.001
224,-33.0,3,0,4,0.95,0.001
225,-34.0,2,0,3,0.95,0.001
226,-34.0,2,0,3,0.95,0.001
227,-32.0,4,0,5,0.95,0.001
228,-32.0,4,0,5,0.95,0.001
229,-35.0,1,0,2,0.95,0.001
230,-34.0,2,0,3,0.95,0.001
231,-33.0,3,0,4,0.95,0.001
232,-35.0,1,0,2,0.95,0.001
233,-34.0,2,0,3,0.95,0.001
234,-31.0,5,0,6,0.95,0.001
235,-34.0,2,0,3,0.95,0.001
236,-34.0,2,0,3,0.95,0.001
237,-31.0,5,0,6,0.95,0.001
238,-35.0,1,0,2,0.95,0.001
239,-35.0,1,0,2,0.95,0.001
240,-33.0,3,0,4,0.95,0.001
241,-30.0,6,0,7,0.95,0.001
242,-32.0,4,0,5,0.95,0.001
243,-28.0,8,0,9,0.95,0.001
244,-34.0,2,0,3,0.95,0.001
245,-34.0,2,0,3,0.95,0.001
246,36,1,1,1,0.95,0.001
247,-30.0,6,0,7,0.95,0.001
248,-35.0,1,0,2,0.95,0.001
249,-32.0,4,0,5,0.95,0.001
250,-33.0,3,0,4,0.95,0.001
251,-35.0,1,0,2,0.95,0.001
252,-34.0,2,0,3,0.95,0.001
253,-34.0,2,0,3,0.95,0.001
254,-31.0,5,0,6,0.95,0.001
255,-32.0,4,0,5,0.95,0.001
256,-33.0,3,0,4,0.95,0.001
257,-35.0,1,0,2,0.95,0.001
258,-35.0,1,0,2,0.95,0.001
259,-35.0,1,0,2,0.95,0.001
260,-34.0,2,0,3,0.95,0.001
261,-35.0,1,0,2,0.95,0.001
262,-31.0,5,0,6,0.95,0.001
263,-29.0,7,0,8,0.95,0.001
264,-29.0,7,0,8,0.95,0.001
265,-34.0,2,0,3,0.95,0.001
266,43.0,8,1,8,0.95,0.001
267,-31.0,5,0,6,0.95,0.001
268,-31.0,5,0,6,0.95,0.001
269,-33.0,3,0,4,0.95,0.001
270,-35.0,1,0,2,0.95,0.001
271,38.0,3,1,3,0.95,0.001
272,-33.0,3,0,4,0.95,0.001
273,37.0,2,1,2,0.95,0.001
274,-33.0,3,0,4,0.95,0.001
275,-33.0,3,0,4,0.95,0.001
276,-35.0,1,0,2,0.95,0.001
277,-34.0,2,0,3,0.95,0.001
278,-31.0,5,0,6,0.95,0.001
279,-33.0,3,0,4,0.95,0.001
280,-27.0,9,0,10,0.95,0.001
281,-35.0,1,0,2,0.95,0.001
282,-35.0,1,0,2,0.95,0.001
283,-32.0,4,0,5,0.95,0.001
284,-33.0,3,0,4,0.95,0.001
285,-29.0,7,0,8,0.95,0.001
286,-34.0,2,0,3,0.95,0.001
287,-33.0,3,0,4,0.95,0.001
288,-35.0,1,0,2,0.95,0.001
289,-33.0,3,0,4,0.95,0.001
290,-35.0,1,0,2,0.95,0.001
291,-34.0,2,0,3,0.95,0.001
292,-35.0,1,0,2,0.95,0.001
293,-35.0,1,0,2,0.95,0.001
294,-34.0,2,0,3,0.95,0.001
295,-33.0,3,0,4,0.95,0.001
296,-35.0,1,0,2,0.95,0.001
297,-33.0,3,0,4,0.95,0.001
298,-35.0,1,0,2,0.95,0.001
299,-35.0,1,0,2,0.95,0.001
300,-34.0,2,0,3,0.95,0.001
301,-35.0,1,0,2,0.95,0.001
302,-28.0,8,0,9,0.95,0.001
303,-30.0,6,0,7,0.95,0.001
304,-35.0,1,0,2,0.95,0.001
305,-33.0,3,0,4,0.95,0.001
306,-34.0,2,0,3,0.95,0.001
307,-35.0,1,0,2,0.95,0.001
308,-34.0,2,0,3,0.95,0.001
309,-33.0,3,0,4,0.95,0.001
310,-28.0,8,0,9,0.95,0.001
311,-33.0,3,0,4,0.95,0.001
312,39.0,4,1,4,0.95,0.001
313,-34.0,2,0,3,0.95,0.001
314,-35.0,1,0,2,0.95,0.001
315,-32.0,4,0,5,0.95,0.001
316,-32.0,4,0,5,0.95,0.001
317,-31.0,5,0,6,0.95,0.001
318,-29.0,7,0,8,0.95,0.001
319,-30.0,6,0,7,0.95,0.001
320,-34.0,2,0,3,0.95,0.001
321,-32.0,4,0,5,0.95,0.001
322,-33.0,3,0,4,0.95,0.001
323,-35.0,1,0,2,0.95,0.001
324,-34.0,2,0,3,0.95,0.001
325,-33.0,3,0,4,0.95,0.001
326,-33.0,3,0,4,0.95,0.001
327,-31.0,5,0,6,0.95,0.001
328,-34.0,2,0,3,0.95,0.001
329,-34.0,2,0,3,0.95,0.001
330,-33.0,3,0,4,0.95,0.001
331,-33.0,3,0,4,0.95,0.001
332,-32.0,4,0,5,0.95,0.001
333,-32.0,4,0,5,0.95,0.001
334,-29.0,7,0,8,0.95,0.001
335,-31.0,5,0,6,0.95,0.001
336,-35.0,1,0,2,0.95,0.001
337,-31.0,5,0,6,0.95,0.001
338,-33.0,3,0,4,0.95,0.001
339,-35.0,1,0,2,0.95,0.001
340,-29.0,7,0,8,0.95,0.001
341,-33.0,3,0,4,0.95,0.001
342,-32.0,4,0,5,0.95,0.001
343,-35.0,1,0,2,0.95,0.001
344,-31.0,5,0,6,0.95,0.001
345,-34.0,2,0,3,0.95,0.001
346,38.0,3,1,3,0.95,0.001
347,-35.0,1,0,2,0.95,0.001
348,36,1,1,1,0.95,0.001
349,-30.0,6,0,7,0.95,0.001
350,-33.0,3,0,4,0.95,0.001
351,-35.0,1,0,2,0.95,0.001
352,-33.0,3,0,4,0.95,0.001
353,-34.0,2,0,3,0.95,0.001
354,-34.0,2,0,3,0.95,0.001
355,-33.0,3,0,4,0.95,0.001
356,-34.0,2,0,3,0.95,0.001
357,-32.0,4,0,5,0.95,0.001
358,-34.0,2,0,3,0.95,0.001
359,-34.0,2,0,3,0.95,0.001
360,-34.0,2,0,3,0.95,0.001
361,-35.0,1,0,2,0.95,0.001
362,-34.0,2,0,3,0.95,0.001
363,-31.0,5,0,6,0.95,0.001
364,-35.0,1,0,2,0.95,0.001
365,-31.0,5,0,6,0.95,0.001
366,-26.0,10,0,11,0.95,0.001
367,-35.0,1,0,2,0.95,0.001
368,-33.0,3,0,4,0.95,0.001
369,-33.0,3,0,4,0.95,0.001
370,-31.0,5,0,6,0.95,0.001
371,-33.0,3,0,4,0.95,0.001
372,-35.0,1,0,2,0.95,0.001
373,-29.0,7,0,8,0.95,0.001
374,-35.0,1,0,2,0.95,0.001
375,-32.0,4,0,5,0.95,0.001
376,-32.0,4,0,5,0.95,0.001
377,-30.0,6,0,7,0.95,0.001
378,-35.0,1,0,2,0.95,0.001
379,-32.0,4,0,5,0.95,0.001
380,-35.0,1,0,2,0.95,0.001
381,-34.0,2,0,3,0.95,0.001
382,-32.0,4,0,5,0.95,0.001
383,-32.0,4,0,5,0.95,0.001
384,-33.0,3,0,4,0.95,0.001
385,-27.0,9,0,10,0.95,0.001
386,-33.0,3,0,4,0.95,0.001
387,-34.0,2,0,3,0.95,0.001
388,-31.0,5,0,6,0.95,0.001
389,-35.0,1,0,2,0.95,0.001
390,-31.0,5,0,6,0.95,0.001
391,-30.0,6,0,7,0.95,0.001
392,-32.0,4,0,5,0.95,0.001
393,-31.0,5,0,6,0.95,0.001
394,-27.0,9,0,10,0.95,0.001
395,-35.0,1,0,2,0.95,0.001
396,-28.0,8,0,9,0.95,0.001
397,-35.0,1,0,2,0.95,0.001
398,-35.0,1,0,2,0.95,0.001
399,-30.0,6,0,7,0.95,0.001
400,-35.0,1,0,2,0.95,0.001
401,-32.0,4,0,5,0.95,0.001
402,-32.0,4,0,5,0.95,0.001
403,-34.0,2,0,3,0.95,0.001
404,-35.0,1,0,2,0.95,0.001
405,-35.0,1,0,2,0.95,0.001
406,-28.0,8,0,9,0.95,0.001
407,-35.0,1,0,2,0.95,0.001
408,-35.0,1,0,2,0.95,0.001
409,-32.0,4,0,5,0.95,0.001
410,-32.0,4,0,5,0.95,0.001
411,-35.0,1,0,2,0.95,0.001
412,-34.0,2,0,3,0.95,0.001
413,36,1,1,1,0.95,0.001
414,40.0,5,1,5,0.95,0.001
415,-33.0,3,0,4,0.95,0.001
416,-33.0,3,0,4,0.95,0.001
417,-31.0,5,0,6,0.95,0.001
418,-34.0,2,0,3,0.95,0.001
419,-32.0,4,0,5,0.95,0.001
420,-34.0,2,0,3,0.95,0.001
421,-34.0,2,0,3,0.95,0.001
422,-30.0,6,0,7,0.95,0.001
423,-35.0,1,0,2,0.95,0.001
424,-32.0,4,0,5,0.95,0.001
425,-35.0,1,0,2,0.95,0.001
426,-33.0,3,0,4,0.95,0.001
427,-33.0,3,0,4,0.95,0.001
428,-34.0,2,0,3,0.95,0.001
429,-35.0,1,0,2,0.95,0.001
430,-35.0,1,0,2,0.95,0.001
431,-35.0,1,0,2,0.95,0.001
432,43.0,8,1,8,0.95,0.001
433,-28.0,8,0,9,0.95,0.001
434,-35.0,1,0,2,0.95,0.001
435,-33.0,3,0,4,0.95,0.001
436,-33.0,3,0,4,0.95,0.001
437,-33.0,3,0,4,0.95,0.001
438,-31.0,5,0,6,0.95,0.001
439,-34.0,2,0,3,0.95,0.001
440,-35.0,1,0,2,0.95,0.001
441,-33.0,3,0,4,0.95,0.001
442,-34.0,2,0,3,0.95,0.001
443,39.0,4,1,4,0.95,0.001
444,-31.0,5,0,6,0.95,0.001
445,-27.0,9,0,10,0.95,0.001
446,-35.0,1,0,2,0.95,0.001
447,-33.0,3,0,4,0.95,0.001
448,41.0,6,1,6,0.95,0.001
449,-33.0,3,0,4,0.95,0.001
450,-35.0,1,0,2,0.95,0.001
451,-31.0,5,0,6,0.95,0.001
452,-34.0,2,0,3,0.95,0.001
453,-33.0,3,0,4,0.95,0.001
454,-34.0,2,0,3,0.95,0.001
455,-32.0,4,0,5,0.95,0.001
456,-30.0,6,0,7,0.95,0.001
457,-34.0,2,0,3,0.95,0.001
458,-32.0,4,0,5,0.95,0.001
459,-26.0,10,0,11,0.95,0.001
460,-34.0,2,0,3,0.95,0.001
461,-33.0,3,0,4,0.95,0.001
462,-32.0,4,0,5,0.95,0.001
463,-29.0,7,0,8,0.95,0.001
464,-35.0,1,0,2,0.95,0.001
465,-29.0,7,0,8,0.95,0.001
466,-34.0,2,0,3,0.95,0.001
467,-34.0,2,0,3,0.95,0.001
468,-34.0,2,0,3,0.95,0.001
469,-34.0,2,0,3,0.95,0.001
470,-31.0,5,0,6,0.95,0.001
471,-35.0,1,0,2,0.95,0.001
472,-33.0,3,0,4,0.95,0.001
473,-28.0,8,0,9,0.95,0.001
474,-30.0,6,0,7,0.95,0.001
475,-35.0,1,0,2,0.95,0.001
476,-30.0,6,0,7,0.95,0.001
477,-33.0,3,0,4,0.95,0.001
478,-35.0,1,0,2,0.95,0.001
479,-35.0,1,0,2,0.95,0.001
480,-30.0,6,0,7,0.95,0.001
481,-33.0,3,0,4,0.95,0.001
482,-35.0,1,0,2,0.95,0.001
483,-32.0,4,0,5,0.95,0.001
484,-33.0,3,0,4,0.95,0.001
485,-31.0,5,0,6,0.95,0.001
486,-32.0,4,0,5,0.95,0.001
487,-35.0,1,0,2,0.95,0.001
488,-32.0,4,0,5,0.95,0.001
489,-33.0,3,0,4,0.95,0.001
490,-30.0,6,0,7,0.95,0.001
491,-34.0,2,0,3,0.95,0.001
492,-32.0,4,0,5,0.95,0.001
493,-31.0,5,0,6,0.95,0.001
494,-33.0,3,0,4,0.95,0.001
495,-34.0,2,0,3,0.95,0.001
496,-33.0,3,0,4,0.95,0.001
497,-33.0,3,0,4,0.95,0.001
498,-34.0,2,0,3,0.95,0.001
499,-33.0,3,0,4,0.95,0.001
500,-35.0,1,0,2,0.95,0.001
501,-34.0,2,0,3,0.95,0.001
502,-34.0,2,0,3,0.95,0.001
503,-30.0,6,0,7,0.95,0.001
504,-33.0,3,0,4,0.95,0.001
505,-35.0,1,0,2,0.95,0.001
506,-32.0,4,0,5,0.95,0.001
507,-32.0,4,0,5,0.95,0.001
508,-33.0,3,0,4,0.95,0.001
509,-23.0,13,0,14,0.95,0.001
510,-30.0,6,0,7,0.95,0.001
511,36,1,1,1,0.95,0.001
512,-29.0,7,0,8,0.95,0.001
513,-34.0,2,0,3,0.95,0.001
514,-35.0,1,0,2,0.95,0.001
515,-32.0,4,0,5,0.95,0.001
516,-34.0,2,0,3,0.95,0.001
517,-35.0,1,0,2,0.95,0.001
518,-31.0,5,0,6,0.95,0.001
519,39.0,4,1,4,0.95,0.001
520,-33.0,3,0,4,0.95,0.001
521,-30.0,6,0,7,0.95,0.001
522,-33.0,3,0,4,0.95,0.001
523,-31.0,5,0,6,0.95,0.001
524,-32.0,4,0,5,0.95,0.001
525,-31.0,5,0,6,0.95,0.001
526,39.0,4,1,4,0.95,0.001
527,-34.0,2,0,3,0.95,0.001
528,-29.0,7,0,8,0.95,0.001
529,-30.0,6,0,7,0.95,0.001
530,-32.0,4,0,5,0.95,0.001
531,-31.0,5,0,6,0.95,0.001
532,-32.0,4,0,5,0.95,0.001
533,-35.0,1,0,2,0.95,0.001
534,-29.0,7,0,8,0.95,0.001
535,-34.0,2,0,3,0.95,0.001
536,-34.0,2,0,3,0.95,0.001
537,-32.0,4,0,5,0.95,0.001
538,-30.0,6,0,7,0.95,0.001
539,-32.0,4,0,5,0.95,0.001
540,-32.0,4,0,5,0.95,0.001
541,-35.0,1,0,2,0.95,0.001
542,-33.0,3,0,4,0.95,0.001
543,-28.0,8,0,9,0.95,0.001
544,-34.0,2,0,3,0.95,0.001
545,43.0,8,1,8,0.95,0.001
546,-27.0,9,0,10,0.95,0.001
547,-33.0,3,0,4,0.95,0.001
548,-35.0,1,0,2,0.95,0.001
549,-34.0,2,0,3,0.95,0.001
550,-33.0,3,0,4,0.95,0.001
551,-34.0,2,0,3,0.95,0.001
552,-33.0,3,0,4,0.95,0.001
553,-30.0,6,0,7,0.95,0.001
554,-35.0,1,0,2,0.95,0.001
555,-35.0,1,0,2,0.95,0.001
556,-28.0,8,0,9,0.95,0.001
557,-34.0,2,0,3,0.95,0.001
558,-33.0,3,0,4,0.95,0.001
559,-33.0,3,0,4,0.95,0.001
560,-31.0,5,0,6,0.95,0.001
561,-34.0,2,0,3,0.95,0.001
562,-31.0,5,0,6,0.95,0.001
563,-34.0,2,0,3,0.95,0.001
564,-33.0,3,0,4,0.95,0.001
565,-31.0,5,0,6,0.95,0.001
566,-33.0,3,0,4,0.95,0.001
567,-35.0,1,0,2,0.95,0.001
568,-34.0,2,0,3,0.95,0.001
569,-35.0,1,0,2,0.95,0.001
570,-31.0,5,0,6,0.95,0.001
571,-35.0,1,0,2,0.95,0.001
572,-34.0,2,0,3,0.95,0.001
573,-32.0,4,0,5,0.95,0.001
574,-31.0,5,0,6,0.95,0.001
575,-30.0,6,0,7,0.95,0.001
576,-31.0,5,0,6,0.95,0.001
577,-33.0,3,0,4,0.95,0.001
578,-35.0,1,0,2,0.95,0.001
579,-33.0,3,0,4,0.95,0.001
580,-30.0,6,0,7,0.95,0.001
581,-35.0,1,0,2,0.95,0.001
582,-35.0,1,0,2,0.95,0.001
583,-34.0,2,0,3,0.95,0.001
584,-29.0,7,0,8,0.95,0.001
585,-35.0,1,0,2,0.95,0.001
586,-35.0,1,0,2,0.95,0.001
587,-28.0,8,0,9,0.95,0.001
588,-35.0,1,0,2,0.95,0.001
589,-34.0,2,0,3,0.95,0.001
590,-34.0,2,0,3,0.95,0.001
591,-34.0,2,0,3,0.95,0.001
592,-32.0,4,0,5,0.95,0.001
593,-35.0,1,0,2,0.95,0.001
594,-33.0,3,0,4,0.95,0.001
595,-32.0,4,0,5,0.95,0.001
596,-32.0,4,0,5,0.95,0.001
597,-34.0,2,0,3,0.95,0.001
598,-34.0,2,0,3,0.95,0.001
599,-33.0,3,0,4,0.95,0.001
600,-34.0,2,0,3,0.95,0.001
601,-31.0,5,0,6,0.95,0.001
602,-24.0,12,0,13,0.95,0.001
603,-34.0,2,0,3,0.95,0.001
604,-32.0,4,0,5,0.95,0.001
605,-34.0,2,0,3,0.95,0.001
606,-31.0,5,0,6,0.95,0.001
607,-33.0,3,0,4,0.95,0.001
608,-32.0,4,0,5,0.95,0.001
609,-33.0,3,0,4,0.95,0.001
610,-31.0,5,0,6,0.95,0.001
611,-32.0,4,0,5,0.95,0.001
612,-35.0,1,0,2,0.95,0.001
613,-35.0,1,0,2,0.95,0.001
614,-35.0,1,0,2,0.95,0.001
615,-33.0,3,0,4,0.95,0.001
616,-35.0,1,0,2,0.95,0.001
617,-34.0,2,0,3,0.95,0.001
618,-34.0,2,0,3,0.95,0.001
619,-35.0,1,0,2,0.95,0.001
620,-30.0,6,0,7,0.95,0.001
621,-33.0,3,0,4,0.95,0.001
622,-34.0,2,0,3,0.95,0.001
623,-27.0,9,0,10,0.95,0.001
624,-35.0,1,0,2,0.95,0.001
625,-35.0,1,0,2,0.95,0.001
626,-33.0,3,0,4,0.95,0.001
627,-35.0,1,0,2,0.95,0.001
628,-34.0,2,0,3,0.95,0.001
629,-34.0,2,0,3,0.95,0.001
630,-33.0,3,0,4,0.95,0.001
631,-35.0,1,0,2,0.95,0.001
632,40.0,5,1,5,0.95,0.001
633,-31.0,5,0,6,0.95,0.001
634,-34.0,2,0,3,0.95,0.001
635,46.0,11,1,11,0.95,0.001
636,-34.0,2,0,3,0.95,0.001
637,-34.0,2,0,3,0.95,0.001
638,-35.0,1,0,2,0.95,0.001
639,-32.0,4,0,5,0.95,0.001
640,-35.0,1,0,2,0.95,0.001
641,-31.0,5,0,6,0.95,0.001
642,-33.0,3,0,4,0.95,0.001
643,-34.0,2,0,3,0.95,0.001
644,-34.0,2,0,3,0.95,0.001
645,-33.0,3,0,4,0.95,0.001
646,-32.0,4,0,5,0.95,0.001
647,-35.0,1,0,2,0.95,0.001
648,-32.0,4,0,5,0.95,0.001
649,-31.0,5,0,6,0.95,0.001
650,-35.0,1,0,2,0.95,0.001
651,-31.0,5,0,6,0.95,0.001
652,-34.0,2,0,3,0.95,0.001
653,-34.0,2,0,3,0.95,0.001
654,-33.0,3,0,4,0.95,0.001
655,-34.0,2,0,3,0.95,0.001
656,-33.0,3,0,4,0.95,0.001
657,-35.0,1,0,2,0.95,0.001
658,-35.0,1,0,2,0.95,0.001
659,-33.0,3,0,4,0.95,0.001
660,-35.0,1,0,2,0.95,0.001
661,-33.0,3,0,4,0.95,0.001
662,-34.0,2,0,3,0.95,0.001
663,-33.0,3,0,4,0.95,0.001
664,-35.0,1,0,2,0.95,0.001
665,-33.0,3,0,4,0.95,0.001
666,-32.0,4,0,5,0.95,0.001
