episode,total_reward,progress,win,n_clicks,beta,learn_rate,avg_bonus
123,46.05,5,1,5,0.1,0.001,1.2101
124,40.39,2,1,2,0.1,0.001,1.6926
125,-27.63,2,0,3,0.1,0.001,2.1221
126,-21.17,4,0,5,0.1,0.001,2.1661
127,-28.77,2,0,3,0.1,0.001,1.7417
128,-25.22,3,0,4,0.1,0.001,1.9441
129,-30.6,1,0,2,0.1,0.001,2.2019
130,-29.09,2,0,3,0.1,0.001,1.6378
131,23.18,16,0,17,0.1,0.001,2.5398
132,-20.17,5,0,6,0.1,0.001,1.8049
133,-29.05,2,0,3,0.1,0.001,1.6498
134,-32.75,1,0,2,0.1,0.001,1.1232
135,-28.7,2,0,3,0.1,0.001,1.7659
136,-31.74,1,0,2,0.1,0.001,1.6295
137,-9.76,9,0,10,0.1,0.001,1.7244
138,-33.09,1,0,2,0.1,0.001,0.9539
139,-24.67,4,0,5,0.1,0.001,1.4658
140,-31.76,1,0,2,0.1,0.001,1.6179
141,-31.64,1,0,2,0.1,0.001,1.6821
142,-31.89,1,0,2,0.1,0.001,1.5546
143,-27.42,3,0,4,0.1,0.001,1.3944
144,-28.25,2,0,3,0.1,0.001,1.9166
145,-25.22,3,0,4,0.1,0.001,1.9442
146,-27.16,3,0,4,0.1,0.001,1.4589
147,-24.59,3,0,4,0.1,0.001,2.103
148,-29.33,2,0,3,0.1,0.001,1.5571
149,-33.15,1,0,2,0.1,0.001,0.9254
150,44.73,3,1,3,0.1,0.001,2.2419
151,-25.31,3,0,4,0.1,0.001,1.9221
152,-15.48,7,0,8,0.1,0.001,1.6904
153,-31.06,2,0,3,0.1,0.001,0.9789
154,-27.79,2,0,3,0.1,0.001,2.0685
155,-28.89,3,0,4,0.1,0.001,1.0268
156,-33.19,1,0,2,0.1,0.001,0.9041
157,-31.45,1,0,2,0.1,0.001,1.7746
158,-31.45,1,0,2,0.1,0.001,1.7735
159,-28.41,3,0,4,0.1,0.001,1.1482
160,-17.6,5,0,6,0.1,0.001,2.2342
161,-24.76,3,0,4,0.1,0.001,2.0608
162,-24.87,3,0,4,0.1,0.001,2.0314
163,-20.92,4,0,5,0.1,0.001,2.2158
164,-29.41,2,0,3,0.1,0.001,1.5301
165,-9.63,7,0,8,0.1,0.001,2.4209
166,-19.65,4,0,5,0.1,0.001,2.4696
167,-28.31,2,0,3,0.1,0.001,1.896
168,-28.56,3,0,4,0.1,0.001,1.1112
169,-33.22,1,0,2,0.1,0.001,0.8879
170,-29.37,2,0,3,0.1,0.001,1.5417
171,-19.72,6,0,7,0.1,0.001,1.4683
172,-28.36,2,0,3,0.1,0.001,1.8805
173,67.5,11,1,11,0.1,0.001,1.9549
174,-29.85,2,0,3,0.1,0.001,1.3837
175,-31.17,2,0,3,0.1,0.001,0.9443
176,-18.56,5,0,6,0.1,0.001,2.0732
177,-31.58,1,0,2,0.1,0.001,1.7116
178,-18.46,6,0,7,0.1,0.001,1.6491
179,-33.15,1,0,2,0.1,0.001,0.923
180,-25.42,3,0,4,0.1,0.001,1.8943
181,-22.88,4,0,5,0.1,0.001,1.824
182,-31.87,1,0,2,0.1,0.001,1.5674
183,-32.99,1,0,2,0.1,0.001,1.0053
184,-28.88,2,0,3,0.1,0.001,1.7066
185,-25.79,4,0,5,0.1,0.001,1.2413
186,-31.76,1,0,2,0.1,0.001,1.6189
187,-21.37,4,0,5,0.1,0.001,2.1268
188,-24.24,4,0,5,0.1,0.001,1.5523
189,-25.81,3,0,4,0.1,0.001,1.7968
190,-23.26,4,0,5,0.1,0.001,1.7485
191,-31.7,1,0,2,0.1,0.001,1.6493
192,-27.91,3,0,4,0.1,0.001,1.2734
193,-29.57,2,0,3,0.1,0.001,1.4755
194,-27.54,3,0,4,0.1,0.001,1.3661
195,-26.13,3,0,4,0.1,0.001,1.7175
196,-7.21,8,0,9,0.1,0.001,2.3098
197,-29.13,3,0,4,0.1,0.001,0.9673
198,-31.38,1,0,2,0.1,0.001,1.8099
199,-6.41,10,0,11,0.1,0.001,1.7813
200,-29.65,2,0,3,0.1,0.001,1.4488
201,-28.56,2,0,3,0.1,0.001,1.8123
202,-28.01,3,0,4,0.1,0.001,1.247
203,-31.31,2,0,3,0.1,0.001,0.8961
204,-14.91,6,0,7,0.1,0.001,2.1562
205,-31.57,1,0,2,0.1,0.001,1.7134
206,-23.01,4,0,5,0.1,0.001,1.798
207,-31.47,1,0,2,0.1,0.001,1.766
208,-31.94,1,0,2,0.1,0.001,1.529
209,-29.58,2,0,3,0.1,0.001,1.4731
210,-33.26,1,0,2,0.1,0.001,0.8702
211,-27.02,4,0,5,0.1,0.001,0.9965
212,-11.78,8,0,9,0.1,0.001,1.8027
213,-23.8,4,0,5,0.1,0.001,1.6407
214,-29.89,2,0,3,0.1,0.001,1.3714
215,-9.65,9,0,10,0.1,0.001,1.7347
216,-18.22,5,0,6,0.1,0.001,2.13
217,-21.75,4,0,5,0.1,0.001,2.0504
218,-27.61,3,0,4,0.1,0.001,1.3465
219,-33.29,1,0,2,0.1,0.001,0.8526
220,-26.56,3,0,4,0.1,0.001,1.6089
221,46.39,4,1,4,0.1,0.001,1.8483
222,-25.21,4,0,5,0.1,0.001,1.3574
223,-25.92,3,0,4,0.1,0.001,1.7693
224,-32.11,1,0,2,0.1,0.001,1.4438
225,-24.98,3,0,4,0.1,0.001,2.0041
226,-28.28,3,0,4,0.1,0.001,1.1807
227,-28.6,2,0,3,0.1,0.001,1.7993
228,-33.15,1,0,2,0.1,0.001,0.9264
229,-29.31,3,0,4,0.1,0.001,0.923
230,-26.77,3,0,4,0.1,0.001,1.5579
231,41.88,3,1,3,0.1,0.001,1.2919
232,-33.42,1,0,2,0.1,0.001,0.7901
233,-22.19,4,0,5,0.1,0.001,1.9612
234,-29.47,2,0,3,0.1,0.001,1.5096
235,-32.06,1,0,2,0.1,0.001,1.4677
236,-31.92,1,0,2,0.1,0.001,1.5419
237,-31.13,2,0,3,0.1,0.001,0.9577
238,-24.23,4,0,5,0.1,0.001,1.5538
239,-33.43,1,0,2,0.1,0.001,0.7853
240,-21.94,4,0,5,0.1,0.001,2.0115
241,-25.16,4,0,5,0.1,0.001,1.3686
242,-28.79,3,0,4,0.1,0.001,1.0531
243,-28.32,3,0,4,0.1,0.001,1.1703
244,-33.13,1,0,2,0.1,0.001,0.9374
245,-29.66,2,0,3,0.1,0.001,1.4476
246,-27.42,2,0,3,0.1,0.001,2.1919
247,-33.45,1,0,2,0.1,0.001,0.7759
248,-33.45,1,0,2,0.1,0.001,0.7741
249,-31.66,1,0,2,0.1,0.001,1.6722
250,-28.0,3,0,4,0.1,0.001,1.2506
251,-28.27,3,0,4,0.1,0.001,1.1827
252,-18.44,6,0,7,0.1,0.001,1.6514
253,-32.06,1,0,2,0.1,0.001,1.4701
254,-31.96,1,0,2,0.1,0.001,1.5181
255,-32.02,1,0,2,0.1,0.001,1.489
256,-29.75,2,0,3,0.1,0.001,1.4158
257,-30.66,2,0,3,0.1,0.001,1.1122
258,-32.12,1,0,2,0.1,0.001,1.4375
259,46.03,4,1,4,0.1,0.001,1.7583
260,-22.07,5,0,6,0.1,0.001,1.4889
261,-24.46,3,0,4,0.1,0.001,2.135
262,-9.15,8,0,9,0.1,0.001,2.0942
263,-24.84,5,0,6,0.1,0.001,1.027
264,-28.81,2,0,3,0.1,0.001,1.73
265,-29.96,2,0,3,0.1,0.001,1.3476
266,-27.47,2,0,3,0.1,0.001,2.1781
267,-23.43,4,0,5,0.1,0.001,1.7145
268,-29.21,2,0,3,0.1,0.001,1.5976
269,-32.54,1,0,2,0.1,0.001,1.2317
270,-33.38,1,0,2,0.1,0.001,0.8125
271,-25.73,3,0,4,0.1,0.001,1.8173
272,-31.93,1,0,2,0.1,0.001,1.5345
273,-11.72,7,0,8,0.1,0.001,2.1599
274,-32.25,1,0,2,0.1,0.001,1.3757
275,-24.93,3,0,4,0.1,0.001,2.0173
276,-28.93,3,0,4,0.1,0.001,1.0181
277,-23.76,4,0,5,0.1,0.001,1.6487
278,-29.21,2,0,3,0.1,0.001,1.598
